"id","school_name","state","tuition_in","tuition_out","earnings","debt","ROI"
200800,"University of Akron Main Campus","OH",13135,20815,46600,23250,23350
201441,"Bowling Green State University-Main Campus","OH",14460,22448,47896,25000,22896
201885,"University of Cincinnati-Main Campus","OH",13976,29310,54810,21250,33560
202134,"Cleveland State University","OH",12988,18510,52131,21797,30334
203517,"Kent State University at Kent","OH",13232,23082,45388,24500,20888
204024,"Miami University-Oxford","OH",18161,41221,55076,23000,32076
204796,"Ohio State University-Main Campus","OH",13244,40022,60409,19976,40433
204857,"Ohio University-Main Campus","OH",14158,24838,52581,21056,31525
206084,"University of Toledo","OH",12744,22104,50632,22250,28382
206604,"Wright State University-Main Campus","OH",11522,21222,49500,22750,26750
206695,"Youngstown State University","OH",11113,11473,41544,24000,17544
